Th,T
1066,1
1051,1
988,1
1320,1
817,1
888,1
714,1
864,1
625,1
693,1
720,1
890,1
937,1
1021,1
874,1
935,1
986,1
1052,1
1202,1
1040,1
961,1
957,1
1006,1
1080,1
1080,1
1157,1
1285,1
1116,1
1210,1
924,1
899,1
1046,1
921,1
902,1
899,1
1020,1
913,1
936,1
898,1
852,1
954,1
969,1
1120,1
692,1
692,1
503,1
605,1
1305,1
1582,1
1966,1
1925,1
2020,1
2427,1
1857,1
2287,1
2113,1
2137,1
1598,1
2277,1
2404,1
1822,1
2261,1
2601,1
2102,1
2102,1
2499,1
2299,1
2059,1
2870,1
2035,1
1414,1
2069,1
1635,1
1915,1
1613,1
1712,1
1304,1
1310,1
950,1
1435,1
647,1
1131,1
2123,1
2740,1
2779,1
1963,1
2165,1
2476,1
2432,1
2716,1
2867,1
3313,1
2648,1
2236,1
2520,1
1852,1
1908,1
2221,1
3012,1
2714,1
2840,1
2349,1
2168,1
1897,1
1633,1
2007,1
1743,1
1704,1
1683,1
1422,1
1024,1
1141,1
1146,1
1046,1
1307,1
1386,1
1651,1
1499,1
1438,1
1237,1
1177,1
1116,1
841,1
901,1
743,1
566,1
427,1
470,1
1395,1
1710,1
1282,1
1447,1
1482,1
998,1
1315,1
1484,1
1407,1
1124,1
1124,1
1275,1
1079,1
1617,1
1764,1
1791,1
1231,1
1346,1
1163,1
1339,1
989,1
993,1
645,1
645,1
504,1
795,1
687,1
1019,1
856,1
1094,1
657,1
1640,1
1429,1
1860,1
1231,1
1484,1
964,1
1247,1
1215,1
1147,1
1064,1
1170,1
1356,1
1403,1
1451,1
1510,1
1510,1
1303,1
1344,1
871,1
1215,1
875,1
1625,1
2283,1
1479,1
1615,1
2212,1
2135,1
2135,1
1789,1
2175,1
1697,1
2003,1
1528,1
1560,1
1982,1
1682,1
2126,1
1906,1
2290,1
2137,1
2371,1
2497,1
2380,1
2273,1
2013,1
2148,1
2583,1
2246,1
1993,1
2189,1
1932,1
2110,1
2528,1
2389,1
2396,1
951,1
951,1
951,1
4617,1
2607,1
1864,1
1760,1
2090,1
2065,1
2100,1
1855,1
917,1
997,1
1253,1
1234,1
1027,1
292,1
1004,1
1442,1
1673,1
1837,1
1764,1
1754,1
1750,1
1838,1
1629,1
1924,1
1924,1
2098,1
2194,1
1405,1
1219,1
1033,1
997,1
1688,1
1836,1
2054,1
2112,1
1522,1
1432,1
1467,1
1917,1
1741,1
1977,1
2085,1
2118,1
1823,1
1829,1
1807,1
2045,1
1295,1
667,1
1561,1
2239,1
2687,1
2873,1
3278,1
2661,1
2778,1
2938,1
3498,1
3841,1
3271,1
3523,1
3335,1
3316,1
3790,1
3161,1
3018,1
2610,1
2610,1
2131,1
2368,1
2267,1
3000,1
3206,1
2774,1
3020,1
2912,1
3700,1
3981,1
3570,1
4524,1
3868,1
4266,1
2342,1
2342,1
5876,1
4469,1
3750,1
3699,1
3701,1
3968,1
3675,1
3797,1
3307,1
3343,1
3033,1
3115,1
2820,1
3123,1
3503,1
3753,1
3674,1
3936,1
4005,1
3335,1
3362,1
2979,1
3136,1
2424,1
2413,1
2251,1
1813,1
2433,1
2271,1
1759,1
1461,1
922,1
922,1
967,1
1103,1
1319,1
1109,1
1239,1
1385,1
1292,1
1544,1
1373,1
1575,1
1745,1
2288,1
2124,1
2190,1
1859,1
1798,1
1550,1
1433,1
1672,1
1696,1
1743,1
1803,1
1879,1
2240,1
2125,1
1907,1
1890,1
1711,1
1905,1
2059,1
2059,1
2591,1
1931,1
1695,1
1263,1
1326,1
1934,1
1628,1
2183,1
1050,1
1071,1
889,1
885,1
653,1
651,1
348,1
403,1
535,1
699,1
635,1
825,1
958,1
932,1
672,1
733,1
657,1
712,1
883,1
859,1
949,1
1109,1
1097,1
961,1
958,1
1097,1
1065,1
1084,1
1005,1
1097,1
1067,1
1003,1
1013,1
870,1
645,1
506,1
241,1
241,1
