change,bitrate,buffer
0,998,29.355941704
1,1500,97.4586386864
2,1690,56.2442068961
3,1874,1.01513277636
4,1873,1.03632832257
5,1873,1.03632832257
6,1872,1.08083017479
7,1872,1.0930549919
8,1871,1.15734521713
9,1871,1.18214664465
10,1872,0.683781490044
11,1871,0.704977036256
12,1874,0.957924437002
13,1875,0.599474092632
14,1874,0.620669638844
15,1874,0.620669638844
16,1874,0.633685990875
17,1875,0.576959321552
18,1874,0.598154867764
19,1874,0.598154867764
20,1873,0.642656719977
21,1873,0.654881537087
22,1872,0.719171762319
23,1872,0.612472601232
24,1873,0.577205323094
25,1880,0.582777894286
26,1879,0.603973440498
27,1879,0.603973440498
28,1883,0.750341664181
29,1884,0.737928714406
30,1888,1.08671267565
31,1887,0.822191141883
32,1889,0.683542591964
33,1889,0.704738138176
34,1889,0.704738138176
35,1890,0.720032727923
36,1890,0.684765449786
37,1891,0.596465331957
38,1892,0.614675924266
39,1893,0.579408646128
40,1893,0.581343509268
41,1892,0.60253905548
42,1892,0.60253905548
43,1891,0.63241870329
44,1891,0.5883565927
45,1891,0.658363459027
46,1891,1.10643843523
47,1893,0.629437006907
48,1893,0.652831261232
49,1892,0.674026807444
50,1894,0.628624592631
51,1895,0.593357314494
52,1894,0.614552860706
53,1895,0.663664673182
54,1896,0.628397395045
55,1895,0.656020808212
56,1896,0.654342150781
57,1896,0.59726368816
58,1896,0.650912166125
59,1896,0.661868910729
60,1897,0.626601632592
61,1897,0.654225045759
62,1897,0.652546388328
63,1897,0.595467925707
64,1897,0.649116403672
65,1897,0.627886506266
66,1898,0.611654488566
67,1898,0.636543864409
68,1900,0.589037105067
69,1900,0.612431359392
70,1899,0.633626905605
71,1900,0.595380625797
72,1900,0.610331840967
73,1900,0.602680336733
74,1900,0.590520028807
75,1900,0.595127692876
76,1900,0.611715575019
77,1900,0.627546273435
78,1900,0.582956472897
79,1901,0.603179478238
80,1904,1.05725826162
81,1904,0.609125379976
82,1903,1.07845380783
83,1905,1.10690403008
84,1905,0.658771148435
85,1904,1.12809957629
86,1905,0.684715904172
87,1906,1.11558570232
88,1908,0.635475798703
89,1907,0.656671344916
90,1907,0.656671344916
91,1909,1.10553309335
92,1909,0.625889957778
93,1910,0.634874735069
94,1911,0.599607456932
95,1911,0.662327639133
96,1912,0.57898734398
97,1912,0.605811582962
98,1911,0.627007129174
99,1911,0.627007129174
100,1913,0.707672273264
101,1913,0.597736867599
102,1913,0.618932413811
103,1913,0.618932413811
104,1913,0.660985456102
105,1913,0.659559503246
106,1913,0.657907264743
107,1913,0.656129518589
108,1913,0.626245867912
109,1913,0.628796369324
110,1913,0.652190623649
111,1912,0.673386169861
112,1913,0.648760638992
113,1913,0.61502449163
114,1913,0.61695935477
115,1912,0.638154900982
116,1912,0.655113137822
117,1912,0.676308684034
118,1912,0.676308684034
119,1912,0.582203976786
120,1912,0.603399522998
121,1912,0.581676286838
122,1912,0.609555905715
123,1912,0.630751451927
124,1912,0.630751451927
125,1911,0.67525330414
126,1911,0.68747812125
127,1911,0.617558148641
128,1912,0.582290870504
129,1911,0.603486416716
130,1912,0.581763180557
131,1912,0.609642799433
132,1911,0.630838345645
133,1911,0.630838345645
134,1912,0.575721187514
135,1912,0.60360080639
136,1911,0.624796352602
137,1911,0.624796352602
138,1911,0.63811359127
139,1910,0.681523021925
140,1910,0.659309137482
141,1910,0.770614674675
142,1909,0.716035806805
143,1909,0.626623080884
144,1909,0.614222367125
145,1908,0.575926791386
146,1908,0.635417913337
147,1908,0.623330938308
148,1908,0.64452648452
149,1908,0.62025274695
150,1908,0.622187610089
151,1908,0.677419157895
152,1908,0.608252862556
153,1908,0.610187725696
154,1908,0.622067390144
155,1908,0.631383271908
156,1907,0.643262936356
157,1907,0.688109941231
158,1907,0.699989605679
159,1906,0.777201593981
160,1906,0.789081258429
161,1906,0.603211838168
162,1906,0.656332626185
163,1906,0.604355166387
164,1907,0.636109800674
165,1908,0.600842522537
166,1908,0.602777385677
167,1907,0.623972931889
168,1907,0.623972931889
169,1907,0.58844366143
170,1906,0.609639207642
171,1906,0.609639207642
172,1905,0.654141059855
173,1905,0.666365876965
174,1905,0.684731038941
175,1906,0.617802363972
176,1906,0.619737227112
177,1905,0.640932773324
178,1905,0.640932773324
179,1905,0.685434625537
180,1905,0.697659442647
181,1904,0.761949667879
182,1904,0.614366835159
183,1903,0.635562381371
184,1903,0.635562381371
185,1903,0.587401541124
186,1903,0.589336404264
187,1903,0.610531950476
188,1903,0.610531950476
189,1902,0.655033802689
190,1902,0.667258619799
191,1901,0.731548845031
192,1901,0.756350272549
193,1901,0.622150188183
194,1900,0.643345734395
195,1900,0.643345734395
196,1899,0.687847586608
197,1899,0.700072403718
198,1899,0.76436262895
199,1899,0.789164056468
200,1898,0.852574798455
201,1898,0.697417569644
202,1899,0.582996799428
203,1899,0.610876418305
204,1898,0.632071964517
205,1898,0.632071964517
206,1898,0.67657381673
207,1898,0.68879863384
208,1897,0.753088859072
209,1897,0.616289107827
210,1897,0.618223970967
211,1897,0.673455518773
212,1896,0.694651064985
213,1896,0.694651064985
214,1896,0.739152917198
215,1896,0.751377734307
216,1896,0.615352396384
217,1896,0.587762015239
218,1895,0.608957561451
219,1895,0.608957561451
220,1894,0.653459413664
221,1895,0.575141831242
222,1894,0.596337377454
