Th R rho K BO Xk
4100 5000 0.820000 30 5 1.790684
4100 5000 0.820000 30 10 1.846323
4100 5000 0.820000 30 20 1.893702
4100 5000 0.820000 60 5 1.891002
4100 5000 0.820000 60 10 1.938121
4100 5000 0.820000 60 20 1.874463
4100 5000 0.820000 120 5 1.836083
4100 5000 0.820000 120 10 1.858083
4100 5000 0.820000 120 20 1.761625
4100 5000 0.820000 240 5 1.786364
4100 5000 0.820000 240 10 1.929861
4100 5000 0.820000 240 20 1.833483
2200 5000 0.440000 30 5 0.178516
2200 5000 0.440000 30 10 0.173917
2200 5000 0.440000 30 20 0.182096
2200 5000 0.440000 60 5 0.180996
2200 5000 0.440000 60 10 0.170837
2200 5000 0.440000 60 20 0.173117
2200 5000 0.440000 120 5 0.171517
2200 5000 0.440000 120 10 0.170297
2200 5000 0.440000 120 20 0.179116
2200 5000 0.440000 240 5 0.179516
2200 5000 0.440000 240 10 0.173797
2200 5000 0.440000 240 20 0.178576
1200 5000 0.240000 30 5 0.039179
1200 5000 0.240000 30 10 0.038739
1200 5000 0.240000 30 20 0.044319
1200 5000 0.240000 60 5 0.037699
1200 5000 0.240000 60 10 0.039639
1200 5000 0.240000 60 20 0.045119
1200 5000 0.240000 120 5 0.037739
1200 5000 0.240000 120 10 0.036819
1200 5000 0.240000 120 20 0.049759
1200 5000 0.240000 240 5 0.039619
1200 5000 0.240000 240 10 0.038179
1200 5000 0.240000 240 20 0.041219
577 5000 0.115400 30 5 0.007620
577 5000 0.115400 30 10 0.008480
577 5000 0.115400 30 20 0.012480
577 5000 0.115400 60 5 0.008480
577 5000 0.115400 60 10 0.008880
577 5000 0.115400 60 20 0.011900
577 5000 0.115400 120 5 0.008460
577 5000 0.115400 120 10 0.009680
577 5000 0.115400 120 20 0.011980
577 5000 0.115400 240 5 0.007820
577 5000 0.115400 240 10 0.008260
577 5000 0.115400 240 20 0.012180
254 5000 0.050800 30 5 0.001840
254 5000 0.050800 30 10 0.002660
254 5000 0.050800 30 20 0.005500
254 5000 0.050800 60 5 0.001500
254 5000 0.050800 60 10 0.002400
254 5000 0.050800 60 20 0.005920
254 5000 0.050800 120 5 0.001640
254 5000 0.050800 120 10 0.002660
254 5000 0.050800 120 20 0.005520
254 5000 0.050800 240 5 0.001540
254 5000 0.050800 240 10 0.002620
254 5000 0.050800 240 20 0.005480
4100 3000 1.366667 30 5 28.860383
4100 3000 1.366667 30 10 28.914622
4100 3000 1.366667 30 20 28.937021
4100 3000 1.366667 60 5 58.848783
4100 3000 1.366667 60 10 58.854923
4100 3000 1.366667 60 20 58.916902
4100 3000 1.366667 120 5 118.650047
4100 3000 1.366667 120 10 118.588888
4100 3000 1.366667 120 20 118.510810
4100 3000 1.366667 240 5 237.702766
4100 3000 1.366667 240 10 237.575208
4100 3000 1.366667 240 20 237.820464
2200 3000 0.733333 30 5 1.007300
2200 3000 0.733333 30 10 1.013040
2200 3000 0.733333 30 20 0.995120
2200 3000 0.733333 60 5 0.984420
2200 3000 0.733333 60 10 1.003820
2200 3000 0.733333 60 20 1.031979
2200 3000 0.733333 120 5 1.002880
2200 3000 0.733333 120 10 1.068259
2200 3000 0.733333 120 20 1.038359
2200 3000 0.733333 240 5 0.961921
2200 3000 0.733333 240 10 1.002840
2200 3000 0.733333 240 20 1.032919
1200 3000 0.400000 30 5 0.134957
1200 3000 0.400000 30 10 0.139857
1200 3000 0.400000 30 20 0.144957
1200 3000 0.400000 60 5 0.133997
1200 3000 0.400000 60 10 0.135757
1200 3000 0.400000 60 20 0.143897
1200 3000 0.400000 120 5 0.131417
1200 3000 0.400000 120 10 0.138817
1200 3000 0.400000 120 20 0.141677
1200 3000 0.400000 240 5 0.135817
1200 3000 0.400000 240 10 0.134617
1200 3000 0.400000 240 20 0.144297
577 3000 0.192333 30 5 0.023500
577 3000 0.192333 30 10 0.023780
577 3000 0.192333 30 20 0.027739
577 3000 0.192333 60 5 0.023280
577 3000 0.192333 60 10 0.026679
577 3000 0.192333 60 20 0.029599
577 3000 0.192333 120 5 0.023460
577 3000 0.192333 120 10 0.024640
577 3000 0.192333 120 20 0.029419
577 3000 0.192333 240 5 0.023320
577 3000 0.192333 240 10 0.025399
577 3000 0.192333 240 20 0.028479
254 3000 0.084667 30 5 0.005060
254 3000 0.084667 30 10 0.004920
254 3000 0.084667 30 20 0.008820
254 3000 0.084667 60 5 0.003680
254 3000 0.084667 60 10 0.005180
254 3000 0.084667 60 20 0.009040
254 3000 0.084667 120 5 0.003960
254 3000 0.084667 120 10 0.005400
254 3000 0.084667 120 20 0.009200
254 3000 0.084667 240 5 0.004620
254 3000 0.084667 240 10 0.005060
254 3000 0.084667 240 20 0.010000
4100 2000 2.050000 30 5 29.764565
4100 2000 2.050000 30 10 29.761445
4100 2000 2.050000 30 20 29.764365
4100 2000 2.050000 60 5 59.729505
4100 2000 2.050000 60 10 59.752665
4100 2000 2.050000 60 20 59.749885
4100 2000 2.050000 120 5 119.620628
4100 2000 2.050000 120 10 119.654347
4100 2000 2.050000 120 20 119.667327
4100 2000 2.050000 240 5 239.232015
4100 2000 2.050000 240 10 239.309594
4100 2000 2.050000 240 20 239.265575
2200 2000 1.100000 30 5 24.997400
2200 2000 1.100000 30 10 25.677646
2200 2000 1.100000 30 20 25.339033
2200 2000 1.100000 60 5 54.847203
2200 2000 1.100000 60 10 55.082858
2200 2000 1.100000 60 20 54.795724
2200 2000 1.100000 120 5 113.596168
2200 2000 1.100000 120 10 114.611048
2200 2000 1.100000 120 20 113.222856
2200 2000 1.100000 240 5 229.026099
2200 2000 1.100000 240 10 231.808344
2200 2000 1.100000 240 20 229.590048
1200 2000 0.600000 30 5 0.450371
1200 2000 0.600000 30 10 0.467211
1200 2000 0.600000 30 20 0.453531
1200 2000 0.600000 60 5 0.448151
1200 2000 0.600000 60 10 0.473691
1200 2000 0.600000 60 20 0.460711
1200 2000 0.600000 120 5 0.455551
1200 2000 0.600000 120 10 0.457771
1200 2000 0.600000 120 20 0.451431
1200 2000 0.600000 240 5 0.455311
1200 2000 0.600000 240 10 0.449391
1200 2000 0.600000 240 20 0.441891
577 2000 0.288500 30 5 0.058119
577 2000 0.288500 30 10 0.061759
577 2000 0.288500 30 20 0.068279
577 2000 0.288500 60 5 0.062499
577 2000 0.288500 60 10 0.058919
577 2000 0.288500 60 20 0.063399
577 2000 0.288500 120 5 0.055899
577 2000 0.288500 120 10 0.061319
577 2000 0.288500 120 20 0.063539
577 2000 0.288500 240 5 0.057339
577 2000 0.288500 240 10 0.056239
577 2000 0.288500 240 20 0.063939
254 2000 0.127000 30 5 0.008760
254 2000 0.127000 30 10 0.010100
254 2000 0.127000 30 20 0.014760
254 2000 0.127000 60 5 0.009840
254 2000 0.127000 60 10 0.010080
254 2000 0.127000 60 20 0.013960
254 2000 0.127000 120 5 0.009720
254 2000 0.127000 120 10 0.010820
254 2000 0.127000 120 20 0.013520
254 2000 0.127000 240 5 0.009560
254 2000 0.127000 240 10 0.011240
254 2000 0.127000 240 20 0.013380
4100 1500 2.733333 30 5 29.906842
4100 1500 2.733333 30 10 29.908542
4100 1500 2.733333 30 20 29.912282
4100 1500 2.733333 60 5 59.894162
4100 1500 2.733333 60 10 59.897242
4100 1500 2.733333 60 20 59.903782
4100 1500 2.733333 120 5 119.847463
4100 1500 2.733333 120 10 119.837663
4100 1500 2.733333 120 20 119.845203
4100 1500 2.733333 240 5 239.552609
4100 1500 2.733333 240 10 239.568829
4100 1500 2.733333 240 20 239.645507
2200 1500 1.466667 30 5 29.201116
2200 1500 1.466667 30 10 29.230255
2200 1500 1.466667 30 20 29.196376
2200 1500 1.466667 60 5 59.128357
2200 1500 1.466667 60 10 59.173457
2200 1500 1.466667 60 20 59.196396
2200 1500 1.466667 120 5 119.037479
2200 1500 1.466667 120 10 118.882962
2200 1500 1.466667 120 20 118.822384
2200 1500 1.466667 240 5 238.006540
2200 1500 1.466667 240 10 237.898782
2200 1500 1.466667 240 20 238.096018
1200 1500 0.800000 30 5 1.545229
1200 1500 0.800000 30 10 1.716786
1200 1500 0.800000 30 20 1.640607
1200 1500 0.800000 60 5 1.493170
1200 1500 0.800000 60 10 1.537009
1200 1500 0.800000 60 20 1.653767
1200 1500 0.800000 120 5 1.499170
1200 1500 0.800000 120 10 1.597548
1200 1500 0.800000 120 20 1.538809
1200 1500 0.800000 240 5 1.503450
1200 1500 0.800000 240 10 1.565669
1200 1500 0.800000 240 20 1.641707
577 1500 0.384667 30 5 0.121718
577 1500 0.384667 30 10 0.123618
577 1500 0.384667 30 20 0.124938
577 1500 0.384667 60 5 0.114818
577 1500 0.384667 60 10 0.115718
577 1500 0.384667 60 20 0.129957
577 1500 0.384667 120 5 0.125977
577 1500 0.384667 120 10 0.126837
577 1500 0.384667 120 20 0.121538
577 1500 0.384667 240 5 0.120018
577 1500 0.384667 240 10 0.127517
