Th, T
909, 1
1693, 1
2079, 1
941, 1
966, 1
1045, 1
908, 1
1037, 1
1027, 1
1211, 1
1131, 1
1074, 1
1310, 1
1388, 1
1259, 1
1199, 1
1124, 1
1000, 1
916, 1
1053, 1
1218, 1
1225, 1
1114, 1
664, 1
540, 1
490, 1
334, 1
279, 1
249, 1
252, 1
252, 1
551, 1
432, 1
597, 1
263, 1
245, 1
493, 1
585, 1
592, 1
609, 1
698, 1
734, 1
559, 1
666, 1
605, 1
595, 1
776, 1
742, 1
742, 1
818, 1
802, 1
628, 1
602, 1
642, 1
632, 1
1052, 1
1039, 1
1228, 1
787, 1
635, 1
710, 1
976, 1
1100, 1
1111, 1
1195, 1
975, 1
865, 1
796, 1
800, 1
798, 1
838, 1
910, 1
745, 1
745, 1
926, 1
827, 1
974, 1
680, 1
775, 1
783, 1
1200, 1
812, 1
731, 1
804, 1
748, 1
742, 1
679, 1
645, 1
463, 1
508, 1
501, 1
409, 1
486, 1
410, 1
328, 1
489, 1
467, 1
199, 1
192, 1
497, 1
538, 1
446, 1
359, 1
222, 1
222, 1
107, 1
788, 1
952, 1
928, 1
910, 1
766, 1
704, 1
492, 1
322, 1
249, 1
435, 1
614, 1
698, 1
835, 1
801, 1
917, 1
740, 1
695, 1
694, 1
744, 1
930, 1
921, 1
977, 1
977, 1
1052, 1
901, 1
832, 1
867, 1
1493, 1
1195, 1
817, 1
603, 1
537, 1
614, 1
715, 1
457, 1
457, 1
505, 1
627, 1
617, 1
734, 1
862, 1
1138, 1
1150, 1
1220, 1
998, 1
1135, 1
1201, 1
1273, 1
1406, 1
1555, 1
1411, 1
1221, 1
1472, 1
1001, 1
916, 1
1025, 1
1189, 1
1125, 1
1166, 1
1226, 1
1190, 1
1214, 1
1141, 1
1009, 1
1048, 1
1214, 1
1201, 1
1123, 1
980, 1
980, 1
904, 1
769, 1
1159, 1
991, 1
1053, 1
1185, 1
1229, 1
1194, 1
1203, 1
1297, 1
1271, 1
1375, 1
1518, 1
1269, 1
1112, 1
1101, 1
1064, 1
1347, 1
1181, 1
1022, 1
936, 1
1031, 1
803, 1
650, 1
773, 1
629, 1
575, 1
707, 1
597, 1
496, 1
378, 1
433, 1
425, 1
425, 1
566, 1
452, 1
367, 1
483, 1
901, 1
817, 1
820, 1
983, 1
1226, 1
1206, 1
1472, 1
1469, 1
1673, 1
1441, 1
1335, 1
1295, 1
1668, 1
1453, 1
1649, 1
1427, 1
1427, 1
1356, 1
1198, 1
1460, 1
1217, 1
1296, 1
