change bitrate buffer
0 1500 107.152666667
1 2358 12.511
2 2352 13.0545
3 2452 2.94616666667
4 2447 3.48966666667
5 2447 3.48366666667
6 2455 2.899
7 2450 3.4425
8 2461 2.60616666667
9 2463 2.14666666667
10 2458 2.69016666667
11 2458 2.68416666667
12 2452 3.21066666667
13 2452 3.2185
14 2447 3.7575
15 2463 2.26133333333
16 2466 2.2445
17 2463 2.2475
18 2466 2.24616666667
19 2469 2.2675
20 2466 2.2585
21 2463 2.805
22 2466 2.26233333333
23 2463 2.25066666667
24 2461 2.79983333333
25 2458 2.78816666667
26 2466 2.4475
27 2463 2.45816666667
28 2466 2.44716666667
29 2461 2.99066666667
30 2466 2.4435
31 2466 2.484
32 2469 2.46283333333
33 2469 2.48783333333
34 2472 2.44966666667
35 2469 2.50483333333
36 2475 2.3065
37 2477 2.30733333333
38 2477 2.31016666667
39 2477 2.3035
40 2477 2.30633333333
41 2477 2.289
42 2486 2.3915
43 2480 2.935
44 2480 2.929
45 2483 2.35216666667
46 2477 2.89566666667
47 2477 2.88966666667
48 2480 2.475
49 2475 3.0185
50 2480 2.47316666667
51 2477 2.481
52 2480 2.47866666667
53 2477 2.48533333333
54 2480 2.47833333333
55 2477 2.48266666667
56 2480 2.48483333333
57 2483 2.1555
58 2486 2.10416666667
59 2486 2.09583333333
60 2486 2.1325
61 2480 2.676
62 2486 2.11733333333
63 2491 2.217
64 2488 2.2065
65 2491 2.20816666667
66 2488 2.2065
67 2491 2.20966666667
68 2488 2.2075
69 2488 2.10916666667
70 2491 2.1565
71 2491 2.13
72 2491 2.158
73 2491 2.1315
74 2491 2.17016666667
75 2491 2.16
76 2491 2.15883333333
77 2491 2.15733333333
78 2491 2.1595
79 2491 2.158
80 2488 2.1645
81 2488 2.163
82 2483 2.7065
83 2483 2.7005
84 2483 2.4575
85 2483 2.303
86 2477 2.8465
87 2477 2.8405
88 2483 2.45483333333
89 2483 2.44116666667
90 2483 2.457
91 2483 2.459
92 2477 3.0025
93 2477 2.9965
94 2480 2.493
95 2480 2.4985
96 2480 2.484
97 2480 2.49716666667
98 2480 2.487
99 2483 2.07366666667
100 2483 2.07483333333
101 2483 2.081
102 2480 2.09633333333
103 2480 2.10416666667
104 2477 2.08166666667
105 2477 2.08583333333
106 2475 2.07016666667
107 2472 2.62333333333
108 2469 2.60766666667
109 2469 2.47433333333
110 2472 2.07
111 2472 2.06433333333
112 2466 2.60783333333
113 2469 2.08083333333
114 2466 2.45616666667
115 2463 2.61833333333
116 2463 2.45733333333
117 2461 2.46366666667
118 2461 2.45416666667
119 2458 2.44983333333
120 2458 2.09783333333
121 2455 2.1025
122 2452 2.63533333333
123 2450 2.64
124 2447 3.16966666667
125 2444 3.17433333333
126 2441 3.71016666667
127 2438 3.71483333333
128 2436 4.248
129 2433 4.25266666667
130 2430 4.784
131 2427 4.78866666667
132 2425 5.32266666667
133 2422 5.32733333333
134 2419 5.85183333333
135 2416 5.8565
136 2413 6.39116666667
137 2411 6.39583333333
138 2408 6.9115
139 2405 6.91616666667
140 2402 7.44583333333
141 2400 7.4505
142 2397 7.9755
143 2394 7.98016666667
144 2391 8.5065
145 2388 8.51116666667
146 2386 9.04166666667
147 2383 9.04633333333
148 2380 9.57966666667
149 2377 9.58433333333
150 2375 10.1043333333
151 2372 10.109
152 2369 10.5903333333
153 2366 10.595
154 2363 11.0538333333
155 2361 11.0585
156 2358 11.52
157 2355 11.5246666667
158 2352 12.0
159 2350 12.0046666667
160 2347 12.4633333333
161 2344 12.468
162 2341 12.937
163 2338 12.9416666667
164 2336 13.387
165 2333 13.3916666667
166 2330 13.875
167 2327 13.8796666667
168 2325 14.3401666667
169 2322 14.3448333333
170 2319 14.8121666667
171 2316 14.8168333333
172 2313 15.2865
173 2311 15.2911666667
174 2308 15.6731666667
175 2305 15.6778333333
176 2302 16.0918333333
177 2300 16.0965
178 2297 16.3726666667
