profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p1,t1,abr,2009.71,11,0.327201,0,0,0,48.781,17,578385
p1,t1,ar,3158.36,24,0.346179,0,0,0,0,0,896519
p1,t1,bba,2878.43,14,0.401456,0,0,0,0,0,823815
p1,t1,bola,3020.02,6,0.335798,0,0,0,0,0,883047
p1,t1,dy,2500.5,46,0.413302,0,0,0,0,0,671879
p1,t1,elastic,3041.7,32,0.257126,0.756,1,0.756,0,0,852899
p1,t1,gd,2233.55,44,0.591676,0,0,0,40.695,5,599683
p1,t1,kama,1601.6,32,0.521325,0,0,0,121.356,21,425315
p1,t1,quetra,3125.99,30,0.337545,0,0,0,0,0,879232
p1,t1,ra,3096.87,22,0.33992,0,0,0,0,0,882659
p1,t2,abr,2288.35,11,0.266467,0,0,0,126.163,62,280120
p1,t2,ar,3551.22,12,0.291898,0,0,0,0,0,443971
p1,t2,bba,3179.84,10,0.3468,0,0,0,16.186,6,393709
p1,t2,bola,3246.32,6,0.288348,0,0,0,0,0,410517
p1,t2,dy,3395.04,30,0.359316,0,0,0,35.018,3,404353
p1,t2,elastic,3261.66,12,0.211326,0,0,0,0,0,407998
p1,t2,gd,3184.68,28,0.453744,0,0,0,79.704,6,377009
p1,t2,kama,2118.76,11,0.469113,0,0,0,204.144,4,257640
p1,t2,quetra,3501.96,14,0.322749,0,0,0,0,0,433719
p1,t2,ra,3486.88,10,0.310219,0,0,0,0,0,438370
p1,t3,abr,2015.92,11,0.339567,0,0,0,142.816,170,641998
p1,t3,ar,3174.61,17,0.349583,0,0,0,0,0,1.00803e+06
p1,t3,bba,3331.42,58,0.461289,0,0,0,12.036,4,966609
p1,t3,bola,3076.22,6,0.38268,0,0,0,0,0,993846
p1,t3,dy,2690.81,54,0.499692,0,0,0,31.37,10,807568
p1,t3,elastic,3336.04,30,0.259675,0,0,0,0,0,1.04388e+06
p1,t3,gd,2270.34,44,0.508621,0,0,0,109.215,11,680471
p1,t3,kama,1952.57,14,0.545373,0,0,0,266.28,32,617519
p1,t3,quetra,3061.13,18,0.388928,0,0,0,0,0,967341
p1,t3,ra,3162.33,19,0.373551,0,0,0,0,0,1.00232e+06
p1,t4,abr,1798.6,9,0.384585,0,0,0,169.83,9,197109
p1,t4,ar,3601.95,14,0.336536,0,0,0,0,0,399415
p1,t4,bba,3301.85,30,0.375419,0,0,0,0,0,318763
p1,t4,bola,2601.9,5,0.356724,0,0,0,0,0,294988
p1,t4,dy,2901.4,31,0.458184,0,0,0,30.014,4,296661
p1,t4,elastic,3084.66,12,0.252689,0,0,0,15.942,1,342932
p1,t4,gd,2391.34,26,0.497764,0,0,0,97.152,8,245937
p1,t4,kama,2258.9,19,0.502261,0,0,0,143.727,4,231849
p1,t4,quetra,3451.14,10,0.405046,0,0,0,2.206,0,391297
p1,t4,ra,3485.12,10,0.336862,0,0,0,0,0,394340
p1,t5,abr,1382.19,4,0.426599,0,0,0,0,0,81046.8
p1,t5,ar,2798.21,16,0.620689,0,0,0,0,0,158921
p1,t5,bba,2841.29,6,0.657239,0,0,0,23.442,16,168973
p1,t5,bola,1740.93,9,0.338464,0,0,0,0,0,98519.9
p1,t5,dy,2747.05,10,0.528655,0,0,0,15.571,9,159075
p1,t5,elastic,2070.76,11,0.346127,0,0,0,0,0,114343
p1,t5,gd,2616.24,30,0.68492,0,0,0,17.795,8,139248
p1,t5,kama,1230.98,16,0.838183,0,0,0,44.025,21,63241.6
p1,t5,quetra,2793.21,16,0.597177,0,0,0,0,0,158696
p1,t5,ra,2796.31,16,0.593955,0,0,0,0,0,158743
p1,t6,abr,2228.36,38,0.355483,3.742,1,3.742,72.586,48,422286
p1,t6,ar,3005.12,90,0.435842,0,0,0,0,0,584478
p1,t6,bba,3058.93,43,0.703239,0,0,0,0,0,606049
p1,t6,bola,2586.9,16,0.289507,3.502,1,3.502,0,0,511100
p1,t6,dy,2777.72,93,0.642563,0,0,0,14.136,6,531730
p1,t6,elastic,2629.28,42,0.269846,3.571,1,3.571,0,0,495180
p1,t6,gd,1541.53,107,0.845907,0,0,0,209.431,88,265607
p1,t6,kama,4393.63,162,0.802095,0,0,0,101.688,43,815612
p1,t6,quetra,2867.26,40,0.371532,0,0,0,0,0,571869
p1,t6,ra,2909.5,52,0.368381,0,0,0,0,0,575127
p1,t7,abr,2189.86,46,0.381902,0,0,0,63.728,66,699052
p1,t7,ar,2821.56,25,0.323659,0,0,0,0,0,931637
p1,t7,bba,2671.24,19,0.389113,0,0,0,15.318,17,882817
p1,t7,bola,2630.52,13,0.268223,0.986,1,0.986,0,0,871021
p1,t7,dy,2824.87,61,0.463958,0,0,0,11.832,14,898734
p1,t7,elastic,2654.77,33,0.245729,0.861,1,0.861,0,0,862959
p1,t7,gd,1655.48,93,0.65721,0,0,0,125.439,94,487736
p1,t7,kama,1539.79,111,0.775797,0,0,0,204.754,162,434707
p1,t7,quetra,2851.94,27,0.318423,0,0,0,0,0,938485
p1,t7,ra,2863.15,33,0.329281,0,0,0,0,0,937797
p2,t1,abr,1827.17,12,0.331089,0,0,0,55.828,87,516491
p2,t1,ar,2732.93,21,0.289821,0.523,1,0.523,0,0,768154
p2,t1,bba,2584.81,23,0.365083,0.592,1,0.592,0,0,711678
p2,t1,bola,2839.56,5,0.301034,0.594,1,0.594,0,0,822007
p2,t1,dy,2519.51,42,0.396732,0.52,1,0.52,4.141,4,679197
p2,t1,elastic,2636.76,41,0.255355,0,0,0,0,0,711363
p2,t1,gd,2171.93,38,0.497175,0,0,0,51.182,7,577382
p2,t1,kama,1624.78,24,0.501664,0.537,1,0.537,122.306,132,432959
p2,t1,quetra,2714.77,27,0.288971,0,0,0,0,0,757458
p2,t1,ra,2723.84,25,0.297338,0,0,0,0,0,762143
p2,t2,abr,2037.47,10,0.280432,0,0,0,134.56,15,240919
p2,t2,ar,2889.23,9,0.185174,0,0,0,0,0,351891
p2,t2,bba,3144.14,16,0.267871,0,0,0,0,0,368912
p2,t2,bola,2250.66,1,0.312422,0,0,0,0,0,278965
p2,t2,dy,2763.5,25,0.257151,0,0,0,28.598,11,316568
p2,t2,elastic,3074.32,10,0.187121,0,0,0,0,0,375042
p2,t2,gd,2642.01,22,0.317666,0,0,0,38.815,12,304754
p2,t2,kama,2014.82,10,0.373694,0,0,0,169.971,13,235831
p2,t2,quetra,3181.64,14,0.205866,0,0,0,0,0,386516
p2,t2,ra,3218.4,14,0.177101,0,0,0,0,0,388738
