profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow
p1,t1,abr,2009.71,11,0.327201,0,0,0,48.781,17
p1,t1,ar,3158.36,24,0.346179,0,0,0,0,0
p1,t1,bba,2878.43,14,0.401456,0,0,0,0,0
p1,t1,bola,3020.01,6,0.335798,0,0,0,0,0
p1,t1,dy,2500.5,46,0.413302,0,0,0,0,0
p1,t1,elastic,3041.69,32,0.257126,0.754,1,0.754,0,0
p1,t1,gd,2233.55,44,0.591676,0,0,0,40.695,5
p1,t1,kama,1601.6,32,0.521325,0,0,0,121.356,21
p1,t1,quetra,3125.99,30,0.337545,0,0,0,0,0
p1,t1,ra,3096.86,22,0.33992,0,0,0,0,0
p1,t2,abr,2288.35,11,0.266467,0,0,0,126.163,62
p1,t2,ar,3551.22,12,0.291898,0,0,0,0,0
p1,t2,bba,3179.84,10,0.3468,0,0,0,16.186,6
p1,t2,bola,3246.31,6,0.288348,0,0,0,0,0
p1,t2,dy,3395.03,30,0.359316,0,0,0,35.018,3
p1,t2,elastic,3261.66,12,0.211326,0,0,0,0,0
p1,t2,gd,3184.67,28,0.453744,0,0,0,79.704,6
p1,t2,kama,2118.76,11,0.469113,0,0,0,204.144,4
p1,t2,quetra,3501.96,14,0.322749,0,0,0,0,0
p1,t2,ra,3486.88,10,0.310219,0,0,0,0,0
p1,t3,abr,2015.92,11,0.339567,0,0,0,142.816,170
p1,t3,ar,3174.62,17,0.349583,0,0,0,0,0
p1,t3,bba,3331.41,58,0.461289,0,0,0,12.036,4
p1,t3,bola,3076.22,6,0.38268,0,0,0,0,0
p1,t3,dy,2690.82,54,0.499692,0,0,0,31.37,10
p1,t3,elastic,3336.04,30,0.259675,0,0,0,0,0
p1,t3,gd,2270.35,44,0.508621,0,0,0,109.215,11
p1,t3,kama,1952.56,14,0.545373,0,0,0,266.28,32
p1,t3,quetra,3061.14,18,0.388928,0,0,0,0,0
p1,t3,ra,3162.34,19,0.373551,0,0,0,0,0
p1,t4,abr,1798.6,9,0.384585,0,0,0,169.83,9
p1,t4,ar,3601.94,14,0.336536,0,0,0,0,0
p1,t4,bba,3301.85,30,0.375419,0,0,0,0,0
p1,t4,bola,2601.9,5,0.356724,0,0,0,0,0
p1,t4,dy,2901.4,31,0.458184,0,0,0,30.014,4
p1,t4,elastic,3084.65,12,0.252689,0,0,0,15.942,1
p1,t4,gd,2391.34,26,0.497764,0,0,0,97.152,8
p1,t4,kama,2258.9,19,0.502261,0,0,0,143.727,4
p1,t4,quetra,3451.14,10,0.405046,0,0,0,2.206,0
p1,t4,ra,3485.12,10,0.336862,0,0,0,0,0
p1,t5,abr,1382.19,6,0.426599,0,0,0,0,0
p1,t5,ar,2798.21,18,0.620689,0,0,0,0,0
p1,t5,bba,2841.29,8,0.657239,0,0,0,23.442,16
