profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p1,t1,abr,1784.4,8,0.312697,0.714,1,0.714,0,0,512299
p1,t1,ar,2993.37,30,0.430847,0,0,0,0,0,843280
p1,t1,bba,2189.01,25,0.51853,0,0,0,0,0,606435
p1,t1,bola,3007.48,6,0.317486,0,0,0,0,0,879532
p1,t1,dy,3011.09,26,0.508967,0,0,0,0,0,852604
p1,t1,elastic,2732.58,26,0.301122,0.995,1,0.995,0,0,766238
p1,t1,gd,2026.46,22,0.478565,0,0,0,0,0,572384
p1,t1,kama,1461.47,16,0.552995,0,0,0,58.688,8,407093
p1,t1,quetra,3067.45,28,0.437248,0,0,0,0,0,867495
p1,t1,ra,2972.11,20,0.428796,0,0,0,0,0,851259
p1,t2,abr,2023.57,10,0.261874,0,0,0,33.592,1,249033
p1,t2,ar,3344.53,14,0.361288,0,0,0,0,0,416343
p1,t2,bba,3080.28,16,0.438686,0,0,0,0,0,370429
p1,t2,bola,3245.98,6,0.281371,0,0,0,0,0,410607
p1,t2,dy,2381.39,22,0.388445,0,0,0,0,0,284383
p1,t2,elastic,3051.55,14,0.226956,0,0,0,0,0,376857
p1,t2,gd,2288.68,30,0.435951,0,0,0,31.703,1,260535
p1,t2,kama,2013.59,10,0.421011,0,0,0,78.007,1,244954
p1,t2,quetra,3390.57,12,0.354004,0,0,0,0,0,425096
p1,t2,ra,3371.28,14,0.36253,0,0,0,0,0,418821
p1,t3,abr,1659.68,8,0.338159,0.636,2,0.318,68.043,80,528055
p1,t3,ar,3310.43,18,0.485556,0,0,0,0,0,1.05564e+06
p1,t3,bba,3220.05,36,0.506683,0,0,0,0,0,976919
p1,t3,bola,3078.48,6,0.384275,0,0,0,0,0,994725
p1,t3,dy,2339,34,0.578256,0,0,0,0,0,718821
p1,t3,elastic,3171.93,22,0.300067,0,0,0,0,0,1.01014e+06
p1,t3,gd,1927.15,36,0.568694,0,0,0,61.489,5,579786
p1,t3,kama,1514.77,14,0.535083,0,0,0,151.197,16,472961
p1,t3,quetra,3333.98,18,0.475579,0,0,0,0,0,1.0606e+06
p1,t3,ra,3390.23,20,0.457818,0,0,0,0,0,1.08032e+06
p1,t4,abr,1576.46,8,0.382409,0,0,0,73.574,7,171611
p1,t4,ar,3416.56,16,0.425266,0,0,0,0,0,369596
p1,t4,bba,2364.49,13,0.438936,0,0,0,0,0,247920
p1,t4,bola,2897.22,6,0.335417,0,0,0,0,0,328381
p1,t4,dy,3564.22,24,0.507704,0,0,0,0,0,381752
p1,t4,elastic,2240.99,7,0.260757,0,0,0,0,0,250774
p1,t4,gd,2315.43,26,0.521989,0,0,0,4.066,0,236977
p1,t4,kama,1316.88,6,0.616706,0,0,0,177.831,3,144999
