profile sample method avgR ineff p1 p2  change p3 p4 p5 p6 p7
p1 t1 abr  1784.4 0.312697 507.226 4.33756 8 3.38983 0.154913 0.0470444 1991.77 28
p1 t1 ar  2906.23 0.301576 511.952 3.66751 34 2.54237 0.152813 0.0401074 3131.46 24
p1 t1 bb  2147.9 0.474962 551.311 4.26633 1 3.38983 0.177764 0.0403303 2159.37 24
p1 t1 bola  3007.47 0.317486 493.589 4.26948 6 4.40678 0.170779 0.0420295 3151.34 25
p1 t1 dy  2921.37 0.293433 508.321 3.89348 34 3.72881 0.139053 0.0467574 3149.59 28
p1 t1 elastic  3068.84 0.201053 7.309 4.33153 45 3.38983 0.154697 0.0470433 3249.95 28
p1 t1 gd  2925.73 0.293023 505.367 4.21861 34 2.54237 0.175776 0.0400818 3153.46 24
p1 t1 kama  2905.39 0.296956 501.37 4.5497 34 1.69492 0.189571 0.0400895 3129.33 24
p1 t1 qlast  2918.05 0.292582 509.98 4.35303 44 2.54237 0.181376 0.0401006 3150.4 24
p1 t1 ra  2877.37 0.290507 416.598 5.20824 28 3.38983 0.124006 0.070167 3094.76 42
p1 t2 abr  2023.57 0.261874 489.796 3.19086 10 4.81102 0.159543 0.0305204 2151.32 20
p1 t2 ar  3256.79 0.202189 479.87 2.36003 16 22.6805 0.118002 0.0304715 3421.31 20
p1 t2 bb  2903.29 0.393772 568.171 3.29824 4 6.41469 0.137427 0.0366244 3038.38 24
p1 t2 bola  3245.98 0.281371 250.952 3.14165 6 6.18559 0.125666 0.0381606 3363.72 25
p1 t2 dy  3238.4 0.21033 483.629 3.09753 20 3.43644 0.154876 0.0304681 3402.85 20
p1 t2 elastic  3161.85 0.161451 0 3.14232 17 3.66554 0.13093 0.0366323 3308.28 24
p1 t2 gd  3266.07 0.213559 477.689 2.91611 20 3.89463 0.145806 0.030487 3426.59 20
p1 t2 kama  3211.72 0.199922 440.739 2.64908 14 43.5282 0.132454 0.0304753 3378.72 20
p1 t2 qlast  3242.67 0.209793 493.504 2.89701 20 3.89463 0.120709 0.0365707 3404.03 24
p1 t2 ra  3189.71 0.258486 389.175 5.88903 16 3.43644 0.0774873 0.115027 3331.5 76
p1 t3 abr  1659.68 0.338159 513.765 15.3441 8 3.56144 0.393438 0.059601 1844.15 39
p1 t3 ar  3274.04 0.310754 514.36 14.2234 26 2.88307 0.547052 0.0395393 3449.55 26
p1 t3 bb  3385.77 0.479113 577.423 7.18392 2 4.07022 0.342091 0.0321044 3541.43 21
p1 t3 bola  3078.48 0.384275 433.998 14.1222 6 4.07022 0.784566 0.0275177 3258.78 18
p1 t3 dy  3277.52 0.320102 519.904 14.2041 22 3.05266 0.676385 0.0319329 3449.37 21
p1 t3 elastic  3157.22 0.22588 0 14.1329 19 3.90062 0.831345 0.0259789 3330.26 17
p1 t3 gd  3261.85 0.313876 513.61 14.2234 24 2.88307 0.547052 0.0395382 3439.16 26
p1 t3 kama  3274.49 0.274318 490.865 14.2234 28 2.88307 0.677303 0.0319381 3458.09 21
p1 t3 qlast  3262.7 0.320117 521.088 14.2977 38 2.37429 0.84104 0.0258579 3437.18 17
p1 t3 ra  3311.7 0.257997 454.861 15.7419 20 2.2047 0.349821 0.0682568 3496.83 45
p1 t4 abr  1576.46 0.382409 527.192 4.60396 8 2.91251 0.191832 0.0403412 1739.75 24
p1 t4 ar  3201.75 0.243776 516.3 3.52109 14 2.10348 0.146712 0.040243 3415.92 24
p1 t4 bb  2690.17 0.445321 556.354 4.51181 3 3.72155 0.187992 0.0403475 2929.83 24
p1 t4 bola  2897.21 0.335417 521.625 4.53159 6 3.39793 0.181263 0.0420287 3125.13 25
p1 t4 dy  3200.65 0.240451 515.751 3.87183 12 5.1778 0.193592 0.0335464 3414.25 20
p1 t4 elastic  3365.47 0.143342 403.94 4.48295 8 3.07432 0.186789 0.040346 3541.97 24
p1 t4 gd  3197.65 0.237903 510.784 4.26955 18 2.75071 0.177898 0.0402526 3411.11 24
p1 t4 kama  3200.67 0.21733 490.988 4.24444 14 2.91251 0.212222 0.0335604 3419.48 20
p1 t4 qlast  3214.84 0.258976 522.722 4.60083 24 2.75071 0.191701 0.0402933 3423.78 24
p1 t4 ra  3144.77 0.27614 436.555 4.63199 12 2.4271 0.2316 0.0335542 3351.96 20
p1 t5 abr  1390.39 0.409138 127.079 5.01049 6 2.69918 0.20877 0.0980016 1499.46 24
p1 t5 ar  1886.01 0.331508 128.936 4.56671 10 2.44212 0.228336 0.0814455 1926 20
p1 t5 bb  899.081 0.880877 208.732 5.47973 6 3.08478 0.228322 0.098186 910.443 24
p1 t5 bola  1753.6 0.332722 132.822 5.25503 9 3.59891 0.210201 0.102275 1799.97 25
p1 t5 dy  1926.03 0.34366 123.34 3.90864 8 1.79946 0.16286 0.0977155 1955.54 24
p1 t5 elastic  2114.1 0.368412 80.609 5.40066 4 2.82772 0.225028 0.0981852 2114.63 24
p1 t5 gd  1907.71 0.349475 117.322 4.26295 8 2.18505 0.177623 0.0974995 1942.98 24
p1 t5 kama  1752.7 0.345913 125.639 3.97637 7 1.92799 0.165682 0.0975344 1802.77 24
p1 t5 qlast  1880.3 0.329576 122.608 3.6593 10 1.92799 0.182965 0.0813243 1921.78 20
p1 t5 ra  2049.47 0.336544 64.293 5.46132 6 3.08478 0.227555 0.0977672 2054.14 24
p1 t6 abr  1730.74 0.464776 463.091 9.10549 55 1.73892 0.197945 0.0720565 1888.73 46
p1 t6 ar  2930.08 0.277917 336.459 9.33658 22 1.23173 0.186732 0.0780683 3269.64 50
p1 t6 bb  2581 0.599309 566.329 7.47786 24 1.73892 0.311578 0.0377853 2866.59 24
p1 t6 bola  2591.72 0.291622 144.192 9.06129 21 1.88383 0.192793 0.0735977 2672.09 47
p1 t6 dy  3116.2 0.280148 331.658 8.38969 23 1.23173 0.182385 0.0718245 3574.28 46
p1 t6 elastic  2786.75 0.254743 0 19.6234 46 1.52155 0.0943431 0.314661 2990.04 208
p1 t6 gd  2891.98 0.296311 295.168 7.70198 22 1.15928 0.15404 0.0779817 3194.3 50
p1 t6 kama  2876.95 0.287451 201.101 7.68815 18 1.30419 0.167134 0.0718106 3140.69 46
p1 t6 qlast  2948.04 0.276159 356.007 7.74877 30 1.23173 0.168451 0.0718177 3299.09 46
p1 t6 ra  2548.07 0.291573 19.645 9.99802 16 1.15928 0.166634 0.0935165 2611.86 60
p1 t7 abr  2523.29 0.380451 451.047 5.58704 30 1.91844 0.147027 0.0580451 2724.85 38
p1 t7 ar  2657.71 0.25425 328.247 8.19893 18 1.83503 0.163979 0.0759167 2815.22 50
p1 t7 bb  2466.26 0.581216 582.913 7.22466 7 2.00185 0.301027 0.0366781 2528.05 24
p1 t7 bola  2664 0.271449 241.753 9.45148 18 2.08526 0.201095 0.0717917 2793.5 47
p1 t7 dy  2688.19 0.251984 294.564 12.4109 16 1.25116 0.126642 0.147981 2838.48 98
p1 t7 elastic  2657.37 0.203928 0 9.64255 47 1.5848 0.192851 0.0763477 2783.13 50
p1 t7 gd  2710.38 0.247479 317.117 10.7233 16 3.253 0.134042 0.12093 2854.66 80
p1 t7 kama  2518.12 0.233318 197.198 25.4378 17 1.41798 0.122297 0.312291 2637.99 208
p1 t7 qlast  2641.59 0.252972 394.048 8.57951 26 1.5848 0.186511 0.0698441 2806.39 46
p1 t7 ra  2491.67 0.222334 83.973 26.6292 14 1.41798 0.103214 0.381513 2622.07 258
p2 t1 abr  2136.97 0.317472 507.385 1.48938 11 3.55932 0.0620576 0.0402341 2270.74 24
p2 t1 ar  2334.02 0.294115 510.356 1.525 30 2.71186 0.0635417 0.0400025 2599.08 24
p2 t1 bb  2849.57 0.460288 526.265 1.55676 2 47.6271 0.0778378 0.0335476 3047.95 20
p2 t1 bola  2879.81 0.303534 492.896 1.19794 5 38.983 0.0413084 0.0485863 3066.09 29
p2 t1 dy  2330.65 0.291148 511.071 1.44764 30 3.05085 0.0603182 0.0400061 2603.56 24
p2 t1 elastic  2936.67 0.203485 20.548 1.52276 36 3.22034 0.0543841 0.046932 3149.19 28
p2 t1 gd  2342.12 0.301804 512.454 1.49094 38 2.71186 0.0621225 0.0400011 2612.7 24
p2 t1 kama  2349.32 0.289394 515.361 1.47764 26 3.05085 0.0615683 0.0400093 2620.95 24
p2 t1 qlast  2348.23 0.297928 510.835 1.44533 44 3.05085 0.060222 0.04 2615.41 24
p2 t1 ra  2353.7 0.284272 512.001 1.45794 22 3.05085 0.0607474 0.0400093 2623.62 24
p2 t2 abr  2282.76 0.274942 505.953 1.04961 7 6.41469 0.043734 0.036501 2354.05 24
p2 t2 ar  2750.91 0.239531 505.357 1.14018 17 3.66554 0.0475074 0.0364428 2907.07 24
p2 t2 bb  3060.23 0.325926 526.064 1.06963 2 4.81102 0.044568 0.036489 3214.43 24
p2 t2 bola  2248.34 0.316141 505.894 0.943379 1 35.0517 0.0377352 0.0380146 2257.32 25
p2 t2 dy  2748.69 0.258021 504.846 1.08079 21 4.35282 0.0450329 0.0364407 2901.79 24
p2 t2 elastic  3245.72 0.167881 0 0.938189 18 22.9096 0.0390912 0.0364947 3397.3 24
p2 t2 gd  2761.23 0.253192 505.816 1.06635 23 3.89463 0.0444315 0.0364292 2922.87 24
p2 t2 kama  3107.94 0.247884 512.82 1.1063 14 4.12373 0.0460958 0.0364454 3271.02 24
p2 t2 qlast  2738.03 0.23933 504.4 1.00334 21 4.35282 0.0418058 0.0364204 2893.43 24
p2 t2 ra  2794.92 0.246944 523.65 1.12563 15 3.20734 0.0469013 0.0364388 2942.96 24
p2 t3 abr  1962.55 0.363256 540.97 14.1573 13 3.56144 0.589887 0.0366101 2085.98 24
p2 t3 ar  2760.37 0.331613 539.158 7.88993 33 3.22225 0.0986241 0.120034 2963.24 80
p2 t3 bb  3365.54 0.406397 539.556 3.02098 4 4.07022 0.125874 0.0366533 3545.26 24
